OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,INSTALL_MO,INSTALL_YR,UPDATE_MO,UPDATE_YR,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
138,24311000,,8TH ST,MISSION ST,INTERSECTION SHARROW,1,6,2019,,,POINT (-122.41315 37.777454),32,1,10,34,32
36,24436000,,POLK ST,HAYES ST,BIKE SIGNAL,2,,2014,,,POINT (-122.41803 37.777508),21,4,10,36,21
155,26382000,N,MASONIC AVE,MCALLISTER ST,INTERSECTION SHARROW,1,8,2019,,,POINT (-122.44665 37.776737),97,7,11,18,97
53,24233000,,10TH ST,FOLSOM ST,MIXING ZONE,1,1,2018,,,POINT (-122.41281 37.772808),32,1,10,34,32
114,25474000,,THE EMBARCADERO,NORTH POINT ST,TWO-STAGE LEFT,1,6,2017,,,POINT (-122.40729 37.807377),99,6,3,23,99
31,20247000,,CARGO WAY,ILLINOIS ST,BIKE SIGNAL,3,,2012,,,POINT (-122.386024 37.745537),56,2,9,1,56
5,30746000,,MARKET ST,10TH ST/POLK ST,INTERSECTION SHARROW,4,,2014,,,POINT (-122.41749 37.776535),32,5,10,34,32
63,26025000,,SCOTT ST,HAIGHT ST,INTERSECTION SHARROW,3,,2012,,,POINT (-122.435356 37.771473),26,4,11,3,26
119,21341000,,TIFFANY AVE,DUNCAN ST,BIKE CHANNEL,1,,2013,11,2016,POINT (-122.42034 37.746487),83,9,2,2,83
137,23789000,,7TH ST,HUBBELL ST,INTERSECTION SHARROW,1,7,2019,,,POINT (-122.39664 37.76782),34,1,9,4,34
150,30755000,,MARKET ST,VALENCIA ST,JUGHANDLE,1,,2012,,,POINT (-122.42261 37.7725),32,1,10,20,32
199,25880000,,MARKET ST,15TH ST,BIKE BOX,1,11,2016,,,POINT (-122.43081 37.76601),37,3,5,5,37
72,24234000,,DORE ST,FOLSOM ST,INTERSECTION SHARROW,1,1,2018,,,POINT (-122.41221 37.77328),32,1,10,34,32
123,24302000,,8TH ST,NATOMA ST,INTERSECTION SHARROW,1,5,2017,,,POINT (-122.41215 37.776657),32,1,10,34,32
1601,22865000,,DEWEY BLVD,LAGUNA HONDA BLVD,BIKE SIGNAL,1,8,2020,,,POINT (-122.45916 37.74728),49,7,8,41,49
